Source,Target
P25788,O00231
P25788,O00232
P25788,O00487
P25788,O14640
P25788,O14818
P25788,O43242
P25788,O43364
P25788,O43592
P25788,O95202
P25788,O95561
P25788,P01116
P25788,P02511
P25788,P04792
P25788,P17980
P25788,P18428
P25788,P18615
P25788,P20618
P25788,P25786
P25788,P25787
P25788,P25789
P25788,P28065
P25788,P28066
P25788,P28070
P25788,P28072
P25788,P28074
P25788,P35998
P25788,P40306
P25788,P43686
P25788,P49720
P25788,P49721
P25788,P51665
P25788,P55036
P25788,P60900
P25788,P62191
P25788,P62195
P25788,P62333
P25788,Q0PNE2
P25788,Q14997
P25788,Q14CW7
P25788,Q15008
P25788,Q16186
P25788,Q16401
P25788,Q58A44
P25788,Q5RKV6
P25788,Q66K80
P25788,Q6NUJ5
P25788,Q6UWL6
P25788,Q7KZQ1
P25788,Q7Z3D6
P25788,Q86SZ9
P25788,Q8N2R0
P25788,Q8N779
P25788,Q8N7Y1
P25788,Q8N895
P25788,Q8NAJ2
P25788,Q8ND83
P25788,Q8TAA3
P25788,Q96AA3
P25788,Q96CW7
P25788,Q96MZ4
P25788,Q96N28
P25788,Q99436
P25788,Q99460
P25788,Q9BT73
P25788,Q9H0D6
P25788,Q9H8E5
P25788,Q9HAA0
P25788,Q9NPD3
P25788,Q9NQT4
P25788,Q9P1R6
P25788,Q9UL46
P25788,Q9UNM6
P25788,Q9Y244
P25788,Q9Y2T2
P25788,Q9Y5K5
P25788,V9HW09
P25788,V9HW27
P25788,V9HW43
P25788,V9HWJ8
P25788,X5CMJ9
A0A5B9,P01848
A0A5B9,P30512
A0A5B9,P78358
P01848,P01850
P01848,P01903
P01848,P13747
P01848,P13760
P01848,P30512
P01848,P60174
P01848,P78358
P01848,Q31612
P30512,A2IXV5
P30512,O75767
P30512,P01308
P30512,P01850
P30512,P02771
P30512,P33241
P30512,P43630
P30512,P61769
P30512,P78358
P30512,Q16655
P30512,Q6PJ56
P30512,Q86UW6
P30512,Q8NHL6
P30512,Q8WVV4
P30512,Q92619
P30512,Q92959
P78358,P01850
A0AVI4,P55036
A0AVI4,Q15198
A0AVI4,Q96H12
A0AVI4,Q96QB1
P55036,A8K8G8
P55036,O00231
P55036,O00232
