node,community
P25788,10
A0A5B9,10
P01848,10
P30512,10
P78358,10
A0AVI4,10
P55036,10
Q15198,10
Q96H12,10
Q96QB1,10
A0JLT2,10
O60244,10
O75448,10
O75586,10
Q15648,10
Q6P2C8,10
Q93074,10
Q96G25,10
Q9BTT4,10
Q9BUE0,10
Q9BWU1,10
Q9H944,10
Q9NPJ6,10
Q9NVC6,10
Q9NX70,10
Q9UHV7,10
Q9Y2X0,10
P13501,10
A0S2M1,10
P25054,10
A0ZT98,10
P36897,10
P37173,10
P35221,10
Q13503,10
P28070,10
A1X283,10
Q9Y2L1,10
A1YPR0,10
P36956,10
A2IXV5,10
P17693,10
Q31612,10
A2RRP1,10
P04792,10
V9HW43,10
P42771,10
P09467,10
P23508,10
P47736,10
Q15796,10
A4D1T0,10
P40692,10
A5PKW4,10
O60234,10
Q96S21,10
Q8WY41,10
A6NDB9,10
Q6IA17,10
A6NDS4,10
A6NE52,10
Q969H0,10
A6NEK1,10
Q5VYK3,10
A6NIR3,10
A7E2F4,10
A8CG34,10
P35998,10
O43242,10
P43686,10
Q15831,10
Q9UJY1,10
Q9ULJ7,10
P17980,10
P62195,10
Q13007,10
A8K6G4,10
P17936,10
P24593,10
P62714,10
Q96JB5,10
A8K8G8,10
P23434,10
A8K940,10
Q8WWW0,10
A8MTZ0,10
Q15051,10
Q9H0F7,10
Q5RKV6,10
B0UXD8,10
P13760,10
P79483,10
Q30154,10
Q6PJ56,10
B1ALV0,10
Q9H094,10
Q9NPD3,10
Q9H7P9,10
Q8IZH2,10
O00238,10
Q04771,10
Q13485,10
Q15797,10
Q15528,10
V9HW58,10
P01111,10
P01112,10
P01116,10
Q9NZW5,10
O95429,10
B4DET5,10
B4DNC0,10
B4DUS4,10
Q01780,10
B4DXL2,10
B4DY66,10
P43268,10
Q02790,10
Q9H9A6,10
Q9UQ13,10
O14818,10
P25787,10
P28074,10
P49721,10
P01137,10
Q9NS23,10
O14977,10
P04264,10
P54578,10
P15056,10
P36894,10
P36896,10
P36955,10
Q16644,10
Q9Y2T1,10
B7Z6F4,10
P12644,10
P21810,10
P28072,10
P02771,10
O60603,10
C9J442,10
E9KL30,10
P20618,10
P28062,10
P28065,10
P49720,10
Q92979,10
Q9UK55,10
Q9Y244,10
E9PRG8,10
Q99638,10
Q71SY5,10
O15228,10
P10114,10
Q06265,10
Q8TDR2,10
V9HW27,10
V9HW29,10
P48454,10
Q99436,10
O43683,10
Q9Y2T2,10
O00212,10
Q14623,10
Q52LW3,10
O75170,10
Q9UPN7,10
O00231,10
O00232,10
O00233,10
O00487,10
O75832,10
O95163,10
P25786,10
P25789,10
P28066,10
P51665,10
P60900,10
P62191,10
P62333,10
Q15008,10
Q16186,10
Q16401,10
Q7RTR0,10
Q8NI22,10
Q99460,10
Q9NWV8,10
Q9P0J7,10
Q9UNM6,10
Q9Y5K5,10
V9HW09,10
V9HWJ8,10
X5CMJ9,10
Q6N069,10
Q86SZ9,10
V9HW51,10
Q9NYL9,10
O75995,10
O94844,10
P12643,10
P22004,10
P43026,10
P57729,10
P61599,10
P62070,10
Q13873,10
Q14D04,10
Q3SXY8,10
Q58WW2,10
Q5T6F0,10
Q70EL2,10
Q8TAI7,10
Q8TAS1,10
Q96AE7,10
Q96D21,10
Q9H4E5,10
Q9H4M3,10
Q9H5K3,10
Q9NYN1,10
Q9NYS0,10
Q9UF11,10
Q9UK99,10
O00253,10
P32245,10
P41968,10
P43246,10
P52701,10
Q66LE6,10
Q9Y4A5,10
Q6IBE5,10
Q969P5,10
Q96B26,10
Q9BT73,10
O00453,10
Q8N1I8,10
Q8WUQ7,10
O43364,10
P35453,10
O00481,10
P04155,10
Q8TAA3,10
Q9BRP4,10
Q9C005,10
O00504,10
P35527,10
P02792,10
Q9UKX7,10
O00507,10
O00534,10
P06126,10
O43681,10
P07942,10
P41222,10
Q14766,10
P02489,10
Q53H96,10
Q99575,10
Q9BRX2,10
Q14997,10
P40855,10
O00626,10
P02511,10
O00743,10
O15084,10
Q5H9R7,10
O00757,10
O14965,10
P42336,10
Q9UHC1,10
Q96P11,10
Q9NQT4,10
Q6NZY4,10
Q66K74,10
O14556,10
Q9P0V3,10
O14558,10
Q9H0P0,10
Q96SU4,10
O14599,10
P70280,10
O14640,10
Q8TAA9,10
Q9H0R4,10
Q9H2H0,10
V9HW73,10
Q53GY1,10
Q9H1M0,10
O14718,10
O60346,10
P51790,10
P60484,10
Q5HYH0,10
Q96RN5,10
Q00597,10
O95248,10
Q13705,10
Q96NZ8,10
Q19T08,10
Q6SPF0,10
Q9Y3D3,10
O75888,10
O75330,10
Q03167,10
O14950,10
Q9H7Z7,10
O43513,10
Q6IAZ5,10
O75410,10
O75820,10
O95274,10
P11245,10
P23025,10
P49336,10
P55290,10
P56962,10
P60468,10
Q02750,10
Q14032,10
Q14093,10
Q5T7W7,10
Q6FHJ7,10
Q8IZY5,10
Q92748,10
Q92828,10
Q96JY6,10
Q96LZ3,10
Q96QR1,10
Q9BU70,10
Q9BXL5,10
Q9BYX2,10
Q9HCY8,10
Q9NWT8,10
Q9UBP4,10
Q9Y2H8,10
Q9Y337,10
P54368,10
Q8N142,10
Q9UMX2,10
Q8NBB4,10
