Source,Target
P25788,P13498
P25788,P28070
P25788,P33992
P25788,P35998
P25788,P55036
P25788,Q15020
P25788,Q8TAA3
P25788,Q96ME1
P50222,Q13526
P50222,Q14103
P50222,Q8WWY3
P50222,Q8WYA6
P50222,Q969G3
P50222,Q9BWG6
P50222,Q9P0U4
P50222,Q9Y333
Q14498,O00422
Q14498,O00571
Q14498,O43395
Q14498,O43660
Q14498,O75400
Q14498,O75533
Q14498,O75934
Q14498,P26368
Q14498,P49756
Q14498,P49760
Q14498,P55795
Q14498,Q05519
Q14498,Q13427
Q14498,Q13838
Q14498,Q15287
Q14498,Q15427
Q14498,Q2TAY7
Q14498,Q66PJ3
Q14498,Q86U06
Q14498,Q8IWX8
Q14498,Q8N5F7
Q14498,Q8NAV1
Q14498,Q8TF01
Q14498,Q96GM8
Q14498,Q96N46
Q14498,Q96PK6
Q14498,Q99459
Q14498,Q9UHR5
Q14498,Q9UMS4
Q96C19,P28289
P55036,P17028
P55036,P25398
P55036,P28070
P55036,P33992
P55036,P35998
P55036,Q15084
P55036,Q8IX12
Q01844,P35637
Q01844,Q15233
Q01844,Q15427
Q01844,Q16630
Q01844,Q8IWX8
Q01844,Q8N684
Q01844,Q8TEQ6
Q01844,Q99873
Q01844,Q9BUJ2
Q01844,Q9NYV4
Q01844,Q9UHR5
Q6P2Q9,E9PAV3
Q6P2Q9,O00571
Q6P2Q9,O43143
Q6P2Q9,O43172
Q6P2Q9,O43290
Q6P2Q9,O43395
Q6P2Q9,O43660
Q6P2Q9,O60306
Q6P2Q9,O75533
Q6P2Q9,O75934
Q6P2Q9,O94906
Q6P2Q9,P09661
Q6P2Q9,P55795
Q6P2Q9,P62318
Q6P2Q9,Q01081
Q6P2Q9,Q13435
Q6P2Q9,Q13523
Q6P2Q9,Q13573
Q6P2Q9,Q15020
Q6P2Q9,Q15029
Q6P2Q9,Q15287
Q6P2Q9,Q15393
Q6P2Q9,Q15427
Q6P2Q9,Q15428
Q6P2Q9,Q15459
Q6P2Q9,Q2TAY7
Q6P2Q9,Q8IYB3
Q6P2Q9,Q8WWY3
Q6P2Q9,Q96DI7
Q6P2Q9,Q99459
Q6P2Q9,Q9BUQ8
Q6P2Q9,Q9BZJ0
Q6P2Q9,Q9ULR0
Q6P2Q9,Q9UMS4
Q6P2Q9,Q9UN86
Q6P2Q9,Q9UQ35
Q6P2Q9,Q9Y383
P09493,O43707
P09493,O75533
P09493,P06753
P09493,Q13435
P09493,Q15942
P09493,Q16543
P09493,Q16643
P09493,Q8NI27
P09493,Q96T37
Q13813,O15020
Q13813,P35579
Q13813,P61978
Q13813,Q01082
Q13813,Q15393
Q13813,Q16643
Q86X55,O43809
Q86X55,P17676
Q86X55,P51532
Q86X55,P60709
Q86X55,P61978
Q86X55,Q04206
Q86X55,Q86U42
