node,community
P25788,1
P50222,1
Q14498,1
Q96C19,2
P55036,2
Q01844,0
Q6P2Q9,1
P09493,2
Q13813,2
Q86X55,1
P28070,1
Q92569,1
Q9Y3M2,1
P61964,2
P49756,1
Q5T4S7,2
P25205,2
P33992,2
Q15233,0
Q99459,1
O43809,2
Q13526,1
Q9UJ70,1
P51532,1
P51531,1
P98170,2
Q9BUJ2,2
Q9UBB9,1
Q9Y6A5,2
Q8N163,2
Q9NRA8,1
P23381,2
P19544,1
O43707,2
P06753,2
P09972,1
Q9UHD2,1
P35998,1
Q14247,2
O94906,1
Q14257,2
Q12972,1
P52815,2
P27348,2
P27695,1
Q09161,1
O43318,2
O43390,2
P10644,2
P23528,2
Q15007,1
Q16643,2
Q9NYJ8,2
P08670,2
Q15427,1
O75925,1
Q9Y6X2,1
Q9Y4Y9,2
P60709,2
Q13838,1
Q16543,2
P61978,2
Q9Y580,2
Q15942,2
P21127,1
P15927,2
Q13561,2
Q15029,1
Q9UHX1,0
Q09028,1
Q86U42,0
Q8NFD5,1
Q969G3,0
Q06587,1
O75400,1
Q9UPT8,2
P29692,2
Q9H0B3,2
P63165,1
P30305,1
Q04206,1
Q9NRM7,1
Q15393,1
P02545,0
Q14566,2
Q13573,1
Q5JVS0,1
P47756,2
O14776,1
O75821,2
P25398,2
Q13409,2
O43781,1
P25490,1
P62888,2
Q8N2I9,1
Q9H0G5,1
P09429,2
P27816,2
Q8IZD2,1
Q92945,0
O43395,1
Q9NQR1,1
Q05516,1
P22392,2
Q99714,2
P35637,2
Q8WWM7,1
E9PAV3,2
Q9UKY1,1
P04406,2
Q99873,2
O00571,2
P27448,1
Q05519,2
P10636,1
P23588,2
P82979,1
Q9BZZ5,1
Q53H12,1
O00422,1
P35580,2
P62158,2
P43243,2
Q99729,2
P50395,2
O75533,1
Q13595,1
Q07021,2
Q16630,0
P62241,2
Q13885,2
Q9UNS2,2
O75369,2
Q13151,2
P07237,2
P09651,2
P31943,0
P52597,0
Q9NYL9,2
Q96EP5,2
P35244,2
P35579,2
Q15291,1
O00257,1
P84103,1
P24928,1
P43246,2
Q66LE6,1
Q9UHR5,1
Q13185,2
Q13162,2
Q96ME1,1
Q9H1I8,1
Q9BTE1,2
P63261,2
Q14966,1
P15311,2
Q9NY93,1
P13639,2
Q15418,1
O43175,2
O43290,0
O75494,0
P12270,2
P26368,0
P38919,1
Q01081,1
Q15287,1
Q16629,1
Q2TAY7,1
Q96PK6,2
Q9BXP5,1
Q9UKV3,1
Q9Y2W1,0
P16989,2
P22626,2
Q6P2E9,1
Q9UN86,2
Q4VCS5,2
P10721,1
Q99558,1
Q9Y4E8,2
O60479,2
Q68D86,2
Q8N4P3,1
O14874,1
Q8NDT2,1
Q8TAA3,2
Q9NTZ6,2
O43143,1
P61353,2
Q07955,1
Q13427,1
Q14766,2
Q92804,2
P49760,1
Q03393,2
Q15375,1
Q8NAV1,1
Q8TC92,2
Q96JC9,1
Q9NY61,1
P05198,1
P67809,2
Q13242,1
P30048,2
P54105,2
O14832,1
Q8IWI9,2
P15531,2
Q9Y383,1
O00757,1
O14965,1
Q9NRF2,2
P62140,2
Q86U06,1
P38159,2
Q13435,0
P32119,2
Q86WT6,1
Q15750,2
Q8IYF1,1
Q8N684,2
Q8WWY3,0
Q96A72,2
Q9BWG6,1
Q9NYF8,1
Q04917,2
P31948,2
P62318,1
P08621,0
Q12874,1
Q15084,2
Q5HYJ3,1
Q9BQA1,2
Q9NQ29,1
Q9NQ92,2
Q9C0B1,1
O15042,0
P68363,2
Q8NC51,2
Q9Y230,0
O95758,2
Q14103,2
Q3ZCQ8,1
P09661,1
P23246,0
Q86XP3,0
P55081,1
O15020,2
Q96GM8,1
Q06830,2
P42684,1
P98179,2
Q01082,2
P62308,2
Q01130,1
Q08170,1
P15976,2
O75688,0
Q16576,2
O75934,1
Q8N4C6,1
Q9NQG5,1
Q9UKK9,1
P55795,1
Q09666,2
Q14157,2
P68371,2
Q15020,1
P98175,0
Q15459,0
Q8IWX8,0
Q8WYA6,1
Q96I25,1
O15047,1
Q8TF01,1
Q14315,2
P54829,1
Q12851,1
Q9BWU0,2
P46821,2
Q9Y6R4,1
O43172,1
P62310,1
Q9Y333,1
P52907,2
Q14011,2
Q9NY12,2
Q9H1Q7,2
Q9NYV4,1
P48729,1
Q9HCS7,1
O15234,1
Q9Y5S9,1
P98161,1
O75177,2
Q96T60,1
Q9NR20,1
Q04726,1
Q15773,1
P06576,2
P17028,2
Q9Y5L3,1
O15527,1
Q9H307,1
Q8IX12,0
O60306,1
Q8IYB3,1
Q8N5F7,1
Q96T37,1
Q9UMS4,1
Q9UQ35,0
Q5T447,2
Q99417,2
Q6UX04,2
Q9H165,2
O43447,1
O43660,1
Q15428,2
Q9BUQ8,1
O94903,2
Q8WUA2,2
Q96PU8,2
Q9BZJ0,1
Q12792,1
Q8WU90,2
Q5SGD2,1
Q05066,1
Q14004,1
Q5T8P6,1
O43474,2
Q96MU7,1
Q92918,1
Q9P2N5,1
Q9ULR0,1
O43670,1
Q6PJT7,1
O75152,1
Q8WXI9,1
P28289,2
Q9H9J2,2
Q8NI27,1
P61289,1
Q9NXV2,2
O95881,2
P10071,2
P24534,2
Q9ULX6,0
Q13148,2
Q13608,1
O60239,1
O60256,2
Q13627,1
O60331,1
O60506,2
Q96IZ7,1
Q00839,1
Q9Y6Y0,2
Q9Y6W6,1
P10412,2
Q96DI7,2
Q9NVF9,1
P11532,2
Q8WXF1,2
O75319,1
P13647,2
Q9NZZ3,1
P52732,2
P16284,1
P18583,1
Q4G0J3,1
P48436,0
P62995,1
Q13247,1
Q7RTV0,1
O75554,1
P84090,0
P09874,1
P14555,1
Q69YN4,1
Q92585,1
Q9C0C2,2
P35908,2
Q86YP4,1
O94804,1
P11021,2
Q9Y490,2
O95104,2
P40939,2
Q02040,1
O95232,1
Q9UNH5,1
P61011,1
O95382,1
Q15124,1
Q03252,2
Q9UHB6,2
Q8IZD4,1
P83731,2
Q9H093,1
Q9GZU7,1
Q00005,1
P42166,2
Q9UJV9,0
P25705,2
P78332,2
Q66PJ3,1
P15924,2
P35611,2
P22102,2
Q86V81,0
P31942,2
Q12837,1
Q14444,0
Q32P51,2
Q75N03,1
Q9Y2T4,1
P17676,1
Q9UHY1,1
Q96QD9,1
Q9P1Y5,2
P55199,1
Q15181,2
Q96CJ1,1
Q9P0U4,1
P09923,1
P52739,1
Q15057,2
Q9Y657,2
P13498,2
Q8N3C0,0
Q8N9N2,1
P54753,1
Q9H2U1,1
Q13283,2
Q8TEQ6,1
Q8NCA5,2
P14616,1
Q32MK0,1
Q6J9G0,1
P37287,1
P57052,1
Q9BQ04,2
Q01804,2
Q2KHN1,1
Q8N5C8,2
Q8N3J5,1
Q9H4Z2,2
Q52LJ0,2
Q9BY77,1
Q92519,1
P51816,1
P57721,2
Q7L014,1
Q8N752,1
Q96SQ7,1
Q13761,2
Q9NRW4,1
Q8IWQ3,1
Q96KG9,2
Q9BRS2,2
Q5W0B1,2
Q92729,1
Q6ZMQ8,1
Q9HCG8,1
Q8IZL2,1
Q13523,1
Q16854,1
Q9UPS6,1
P52298,1
Q5TGY3,2
Q9NRX4,1
P54821,1
Q96FZ7,2
Q9NRR3,1
Q6P6C2,1
Q8N5P1,2
Q9NYC9,2
Q9Y3Y2,2
Q9UK58,1
Q96N46,1
Q96S94,1
Q92766,1
Q86U44,1
Q8N0Y2,2
Q9BZ67,1
Q9NYA4,1
Q9H8X2,1
